county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
hinsdale,CO,2013,0,33.849673913,4.084,117,0,180,182,0.474565217391,23.3635326087,45.194076087,43.9663586957,0.00164076086957
hot springs,WY,2013,0,36.2622282609,11.221,116,0,172,179,0.493315217391,21.7367391304,47.2584782609,44.6248913043,0.00124184782609
huerfano,CO,2010,0,38.3924043716,0.0,105,0,183,183,0.482131147541,27.7004371585,48.3153551913,46.4730601093,0.00186448087432
huerfano,CO,2011,0,35.1859016393,0.0,113,0,183,183,0.42650273224,28.3996174863,48.3610928962,46.5720765027,0.00145573770492
huerfano,CO,2013,0,37.9345355191,2.893,114,0,177,182,0.488579234973,25.1305464481,48.6242076503,46.9518032787,0.00172404371585
idaho,ID,2010,0,40.9801092896,0.017,123,0,180,183,0.62306010929,25.3249726776,44.3833879781,42.4249726776,0.00398469945355
idaho,ID,2011,0,40.3736956522,2.561,116,0,179,184,0.602663043478,26.0133152174,44.3714130435,42.5530978261,0.00290489130435
idaho,ID,2012,0,38.32,0.0,0,0,1,1,0.54,32.37,43.35,41.11,0.0
idaho,ID,2013,0,41.9413114754,0.0,99,0,183,183,0.574863387978,25.3969398907,47.2375409836,46.0005464481,0.00233387978142
idaho,ID,2014,0,43.65,0.0,1,0,1,1,0.78,9.4,44.62,43.22,0.0183
jackson,CO,2010,0,34.6663934426,10.301,110,0,178,183,0.49868852459,26.2522404372,43.8368306011,41.7552459016,0.00226174863388
jackson,CO,2011,0,34.2676086957,6.431,121,0,175,184,0.558315217391,26.3775543478,40.1632065217,36.9051630435,0.00264673913043
jackson,CO,2013,0,33.4705464481,13.534,125,0,167,177,0.493715846995,23.1456830601,43.655136612,41.1965027322,0.00195355191257
jefferson,CO,2010,0,37.0437431694,5.474,212,0,365,366,0.485546448087,25.246557377,48.1350546448,46.3841530055,0.00267868852459
jefferson,CO,2011,0,35.4675956284,3.109,262,0,362,366,0.488087431694,24.4465846995,46.8362021858,44.3373224044,0.00294344262295
jefferson,CO,2012,0,34.6464480874,1.821,111,0,182,183,0.408524590164,25.0810928962,50.7492349727,49.4157377049,0.0019043715847
jefferson,CO,2013,0,36.1620765027,24.074,264,0,346,356,0.490983606557,22.3690163934,47.5170491803,45.4981147541,0.00231229508197
jefferson,CO,2014,0,39.3327322404,11.272,127,0,180,183,0.543551912568,21.8344808743,47.5017486339,45.4178142077,0.00228743169399
jefferson,ID,2010,0,35.0957377049,4.894,121,0,177,183,0.531912568306,27.9280874317,41.2513114754,38.5695628415,0.00162240437158
